snapshot_id,step,time_s,particle_id,species_id,x_m,y_m,z_m,qw,qx,qy,qz
snapshot-000000,0,0.0,1,artificial_alpha,0.025024571623317213,0.0115162725508216,0.004908152958913722,0.15764893158641333,-0.49911132699522426,0.8286742310308496,0.19832729630628085
snapshot-000000,0,0.0,2,artificial_alpha,0.019098669959625943,0.005590409330054297,0.012617226571870923,0.5200798307982107,-0.070026637368955,0.1754559725972956,0.8329636494683537
snapshot-000000,0,0.0,3,artificial_alpha,0.004645196177281619,0.01217580480702657,0.0075297386940775665,0.28353881903116607,-0.6352836107817583,-0.10640004704439303,0.7104220590349473
snapshot-000000,0,0.0,4,artificial_alpha,0.004719198220803104,0.007951442762689866,0.01165140284033367,-0.13285867070002047,-0.1757590490408994,-0.7616068970581052,0.6094360217886592
snapshot-000000,0,0.0,5,artificial_alpha,0.02325711959422328,0.014541456290128532,0.013396279070412367,0.9422041888557169,0.022301166656291112,0.01400946486073167,-0.334002484066848
snapshot-000000,0,0.0,6,artificial_alpha,0.012411038854127874,0.006107492189862628,0.007488374174236979,0.6681618541996296,-0.290019385007441,0.09743268636828475,-0.6782000918161825
snapshot-000000,0,0.0,7,artificial_alpha,0.009107891815761767,0.011121981106921483,0.012082592879926761,0.32554630313248034,0.8915153864075648,0.2175804537325227,0.22776888828129094
snapshot-000000,0,0.0,8,artificial_alpha,0.005289959647083784,0.003324160936471955,0.004878512006967141,0.03814794911964101,-0.3986793655328494,-0.9151870431783825,-0.04507963481107199
snapshot-000000,0,0.0,9,artificial_alpha,0.010493380110856298,0.006972876549359343,0.008586252180595205,0.2835119680865669,-0.8614416991185296,-0.252455167111146,0.3373507841555224
snapshot-000000,0,0.0,10,artificial_alpha,0.022563397199912207,0.0011676148464448627,0.01209476470806925,-0.940925582037403,0.24769695613129442,0.08277906078985642,0.21552933462899118
snapshot-000000,0,0.0,11,artificial_alpha,0.021314953786924825,0.008434727226742012,0.009568251849892665,-0.00647584748797195,-0.8587198685057639,0.39034888863859935,-0.3319427600827685
snapshot-000000,0,0.0,12,artificial_alpha,0.013990859990015553,0.014018065848497711,0.009714451359958666,0.36122867289175814,0.29476557642778756,-0.8830374146432378,0.05359127890095522
snapshot-000000,0,0.0,13,artificial_alpha,0.019206004740483062,0.0023019313710072346,0.012126091784490216,-0.06121713062087295,0.21919997235416297,-0.43795404347364164,0.8697126484325549
snapshot-000000,0,0.0,14,artificial_alpha,0.005708951549137775,0.0011293831139269944,0.0064509848666820845,0.07245001519895995,0.43501774147263655,-0.7629074557922453,0.4727396469499046
snapshot-000000,0,0.0,15,artificial_alpha,0.01218181717996601,0.010032305622057642,0.008359194563067662,-0.00638205407147649,0.03790956948369934,-0.6396003480359175,-0.7677457448398675
snapshot-000000,0,0.0,16,artificial_alpha,0.02168399904841098,0.008815734350889335,0.014858437661636076,0.07679044167313552,0.23237245438657816,-0.6990972528341476,-0.6718402351673725
snapshot-000000,0,0.0,17,artificial_alpha,0.010838107395860535,0.014158121770562252,0.010485707221160247,0.12616898755739472,-0.8895431418860869,-0.0009769626497923105,0.43908248751931833
snapshot-000000,0,0.0,18,artificial_alpha,0.015398990947958203,0.007084709576584161,0.010953789209601885,-0.8819906976904167,-0.2232519358199439,0.22349191118037132,-0.3497175259794177
snapshot-000000,0,0.0,19,artificial_alpha,0.018655821140101673,0.0090197981179355,0.009242550529043955,0.5927670412756023,-0.34210909253250815,0.22078826378090177,0.6948677184619869
snapshot-000000,0,0.0,20,artificial_alpha,0.019291644903876543,0.014821962492022552,0.011335290909287017,-0.731096183672724,0.007443033150406171,-0.1943344680260289,0.6539702485692609
snapshot-000000,0,0.0,21,artificial_alpha,0.01446292562316227,0.007795148791658741,0.008610611662645094,0.4699359416979918,-0.27765844469289125,0.4712501710320709,-0.6928125829496677
snapshot-000000,0,0.0,22,artificial_alpha,0.0034282326507630973,0.01496281679262214,0.011710524441586219,-0.6591666984446578,-0.14557228611031467,0.42078072369218084,-0.606012834639062
snapshot-000000,0,0.0,23,artificial_alpha,0.020470549789527014,0.004047894090669527,0.0054133186939729835,0.703644386568793,0.6392824265580227,-0.23235622495148942,-0.20545836821752075
snapshot-000000,0,0.0,24,artificial_alpha,0.02723429664202377,0.0064926840379136855,0.01391067545661514,0.10571541763441533,-0.425729158167193,0.49693327139216475,0.7487564745256735
snapshot-000000,0,0.0,25,artificial_alpha,0.013675166983209794,0.003772499840731398,0.008636310119077263,0.5323798007505597,-0.7172191421939063,-0.10349846121107993,0.4375574457718328
snapshot-000000,0,0.0,26,artificial_alpha,0.01745139072523959,0.00925401667362043,0.006386770093090178,0.89510421807934,0.005289450054859337,-0.374170791927136,-0.24239777012858568
snapshot-000000,0,0.0,27,artificial_alpha,0.023736007969537388,0.008732552003653733,0.0023605255480779784,0.2056973146115865,-0.22370913847057722,0.8834864096111492,0.3565032961400706
snapshot-000000,0,0.0,28,artificial_alpha,0.02185310247919188,0.011544969518248205,0.008390674814055218,-0.5589691300949341,0.0919316885656272,-0.6440680214712278,0.5140802077074387
snapshot-000000,0,0.0,29,artificial_alpha,0.01715443822113484,0.004922387837420876,0.010547648970423543,0.69525393448811,0.2802442641353296,-0.4850196384421526,-0.4503788064768303
snapshot-000000,0,0.0,30,artificial_alpha,0.01229720100234597,0.008359347454119322,0.007112636683965442,-0.9094142816618493,-0.03131304671246884,-0.12102966025176629,-0.3966572560213506
snapshot-000000,0,0.0,31,artificial_alpha,0.024170005242955733,0.014992590483119291,0.014680004381517384,-0.7378876482397427,-0.4859189503062351,-0.2676693489401158,-0.3843926533461367
snapshot-000000,0,0.0,32,artificial_alpha,0.001903176250424114,0.0021641204173559543,0.007910588695244627,-0.2968600759442588,-0.06872292238524824,0.47969297399398825,0.8228279929304807
