i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
30,3,1,0.029500000000000002,0.0025,0.0005,300.0000000912208
31,3,1,0.0305,0.0025,0.0005,300.00000002174033
32,3,1,0.0315,0.0025,0.0005,300.0000000052829
1,4,1,0.0005,0.0035,0.0005,338.44461923058236
2,4,1,0.0015,0.0035,0.0005,336.8654279555567
3,4,1,0.0025,0.0035,0.0005,334.5377192982859
4,4,1,0.0035,0.0035,0.0005,331.42524726858727
5,4,1,0.0045000000000000005,0.0035,0.0005,327.61629454478265
6,4,1,0.0055,0.0035,0.0005,323.3257711463436
7,4,1,0.006500000000000001,0.0035,0.0005,318.85915605813875
8,4,1,0.0075,0.0035,0.0005,314.54833446728577
9,4,1,0.0085,0.0035,0.0005,310.6814611112626
10,4,1,0.0095,0.0035,0.0005,307.45051868608357
11,4,1,0.0105,0.0035,0.0005,304.93101043433694
12,4,1,0.0115,0.0035,0.0005,303.0940754028103
13,4,1,0.0125,0.0035,0.0005,301.83983545715586
14,4,1,0.0135,0.0035,0.0005,301.03659263167657
15,4,1,0.0145,0.0035,0.0005,300.5533978890359
16,4,1,0.0155,0.0035,0.0005,300.27999746088653
17,4,1,0.0165,0.0035,0.0005,300.134305522925
18,4,1,0.0175,0.0035,0.0005,300.0610980003903
19,4,1,0.0185,0.0035,0.0005,300.0263721905953
20,4,1,0.0195,0.0035,0.0005,300.0108058206494
21,4,1,0.0205,0.0035,0.0005,300.00420508116014
22,4,1,0.021500000000000002,0.0035,0.0005,300.0015549264832
23,4,1,0.0225,0.0035,0.0005,300.0005466065043
24,4,1,0.0235,0.0035,0.0005,300.0001827567361
25,4,1,0.0245,0.0035,0.0005,300.00005814347463
26,4,1,0.025500000000000002,0.0035,0.0005,300.00001760930076
27,4,1,0.0265,0.0035,0.0005,300.0000050788935
28,4,1,0.0275,0.0035,0.0005,300.0000013955357
29,4,1,0.0285,0.0035,0.0005,300.00000036542866
30,4,1,0.029500000000000002,0.0035,0.0005,300.0000000912208
31,4,1,0.0305,0.0035,0.0005,300.00000002174033
32,4,1,0.0315,0.0035,0.0005,300.0000000052829
1,5,1,0.0005,0.0045000000000000005,0.0005,338.44461923058236
2,5,1,0.0015,0.0045000000000000005,0.0005,336.8654279555567
3,5,1,0.0025,0.0045000000000000005,0.0005,334.5377192982859
4,5,1,0.0035,0.0045000000000000005,0.0005,331.42524726858727
5,5,1,0.0045000000000000005,0.0045000000000000005,0.0005,327.61629454478265
6,5,1,0.0055,0.0045000000000000005,0.0005,323.3257711463436
7,5,1,0.006500000000000001,0.0045000000000000005,0.0005,318.85915605813875
8,5,1,0.0075,0.0045000000000000005,0.0005,314.54833446728577
9,5,1,0.0085,0.0045000000000000005,0.0005,310.6814611112626
10,5,1,0.0095,0.0045000000000000005,0.0005,307.45051868608357
11,5,1,0.0105,0.0045000000000000005,0.0005,304.93101043433694
12,5,1,0.0115,0.0045000000000000005,0.0005,303.0940754028103
13,5,1,0.0125,0.0045000000000000005,0.0005,301.83983545715586
14,5,1,0.0135,0.0045000000000000005,0.0005,301.03659263167657
15,5,1,0.0145,0.0045000000000000005,0.0005,300.5533978890359
16,5,1,0.0155,0.0045000000000000005,0.0005,300.27999746088653
17,5,1,0.0165,0.0045000000000000005,0.0005,300.134305522925
18,5,1,0.0175,0.0045000000000000005,0.0005,300.0610980003903
19,5,1,0.0185,0.0045000000000000005,0.0005,300.0263721905953
20,5,1,0.0195,0.0045000000000000005,0.0005,300.0108058206494
21,5,1,0.0205,0.0045000000000000005,0.0005,300.00420508116014
22,5,1,0.021500000000000002,0.0045000000000000005,0.0005,300.0015549264832
23,5,1,0.0225,0.0045000000000000005,0.0005,300.0005466065043
24,5,1,0.0235,0.0045000000000000005,0.0005,300.0001827567361
25,5,1,0.0245,0.0045000000000000005,0.0005,300.00005814347463
26,5,1,0.025500000000000002,0.0045000000000000005,0.0005,300.00001760930076
27,5,1,0.0265,0.0045000000000000005,0.0005,300.0000050788935
28,5,1,0.0275,0.0045000000000000005,0.0005,300.0000013955357
29,5,1,0.0285,0.0045000000000000005,0.0005,300.00000036542866
30,5,1,0.029500000000000002,0.0045000000000000005,0.0005,300.0000000912208
31,5,1,0.0305,0.0045000000000000005,0.0005,300.00000002174033
32,5,1,0.0315,0.0045000000000000005,0.0005,300.0000000052829
1,6,1,0.0005,0.0055,0.0005,338.44461923058236
2,6,1,0.0015,0.0055,0.0005,336.8654279555567
3,6,1,0.0025,0.0055,0.0005,334.5377192982859
4,6,1,0.0035,0.0055,0.0005,331.42524726858727
5,6,1,0.0045000000000000005,0.0055,0.0005,327.61629454478265
6,6,1,0.0055,0.0055,0.0005,323.3257711463436
7,6,1,0.006500000000000001,0.0055,0.0005,318.85915605813875
8,6,1,0.0075,0.0055,0.0005,314.54833446728577
9,6,1,0.0085,0.0055,0.0005,310.6814611112626
10,6,1,0.0095,0.0055,0.0005,307.45051868608357
