i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
29,12,3,0.0285,0.0115,0.0025,300.000000361902
30,12,3,0.029500000000000002,0.0115,0.0025,300.00000009037626
31,12,3,0.0305,0.0115,0.0025,300.0000000215477
32,12,3,0.0315,0.0115,0.0025,300.00000000523835
1,13,3,0.0005,0.0125,0.0025,338.3960895047096
2,13,3,0.0015,0.0125,0.0025,336.77730881603037
3,13,3,0.0025,0.0125,0.0025,334.4079283568738
4,13,3,0.0035,0.0125,0.0025,331.2608532883809
5,13,3,0.0045000000000000005,0.0125,0.0025,327.4316130235736
6,13,3,0.0055,0.0125,0.0025,323.1382891835363
7,13,3,0.006500000000000001,0.0125,0.0025,318.6850841584574
8,13,3,0.0075,0.0125,0.0025,314.3993059767424
9,13,3,0.0085,0.0125,0.0025,310.56313946173356
10,13,3,0.0095,0.0125,0.0025,307.36303661039716
11,13,3,0.0105,0.0125,0.0025,304.87058835581047
12,13,3,0.0115,0.0125,0.0025,303.05499498334854
13,13,3,0.0125,0.0125,0.0025,301.81611773451846
14,13,3,0.0135,0.0125,0.0025,301.02306383011893
15,13,3,0.0145,0.0125,0.0025,300.5461344967891
16,13,3,0.0155,0.0125,0.0025,300.27632244107537
17,13,3,0.0165,0.0125,0.0025,300.1325512058303
18,13,3,0.0175,0.0125,0.0025,300.0603070918414
19,13,3,0.0185,0.0125,0.0025,300.02603512330626
20,13,3,0.0195,0.0125,0.0025,300.01066991189333
21,13,3,0.0205,0.0125,0.0025,300.0041531944102
22,13,3,0.021500000000000002,0.0125,0.0025,300.0015361569621
23,13,3,0.0225,0.0125,0.0025,300.00054016895484
24,13,3,0.0235,0.0125,0.0025,300.00018066206275
25,13,3,0.0245,0.0125,0.0025,300.00005749652024
26,13,3,0.025500000000000002,0.0125,0.0025,300.0000174195418
27,13,3,0.0265,0.0125,0.0025,300.0000050260138
28,13,3,0.0275,0.0125,0.0025,300.0000013815303
29,13,3,0.0285,0.0125,0.0025,300.000000361902
30,13,3,0.029500000000000002,0.0125,0.0025,300.00000009037626
31,13,3,0.0305,0.0125,0.0025,300.0000000215477
32,13,3,0.0315,0.0125,0.0025,300.00000000523835
1,14,3,0.0005,0.0135,0.0025,338.3960895047096
2,14,3,0.0015,0.0135,0.0025,336.77730881603037
3,14,3,0.0025,0.0135,0.0025,334.4079283568738
4,14,3,0.0035,0.0135,0.0025,331.2608532883809
5,14,3,0.0045000000000000005,0.0135,0.0025,327.4316130235736
6,14,3,0.0055,0.0135,0.0025,323.1382891835363
7,14,3,0.006500000000000001,0.0135,0.0025,318.6850841584574
8,14,3,0.0075,0.0135,0.0025,314.3993059767424
9,14,3,0.0085,0.0135,0.0025,310.56313946173356
10,14,3,0.0095,0.0135,0.0025,307.36303661039716
11,14,3,0.0105,0.0135,0.0025,304.87058835581047
12,14,3,0.0115,0.0135,0.0025,303.05499498334854
13,14,3,0.0125,0.0135,0.0025,301.81611773451846
14,14,3,0.0135,0.0135,0.0025,301.02306383011893
15,14,3,0.0145,0.0135,0.0025,300.5461344967891
16,14,3,0.0155,0.0135,0.0025,300.27632244107537
17,14,3,0.0165,0.0135,0.0025,300.1325512058303
18,14,3,0.0175,0.0135,0.0025,300.0603070918414
19,14,3,0.0185,0.0135,0.0025,300.02603512330626
20,14,3,0.0195,0.0135,0.0025,300.01066991189333
21,14,3,0.0205,0.0135,0.0025,300.0041531944102
22,14,3,0.021500000000000002,0.0135,0.0025,300.0015361569621
23,14,3,0.0225,0.0135,0.0025,300.00054016895484
24,14,3,0.0235,0.0135,0.0025,300.00018066206275
25,14,3,0.0245,0.0135,0.0025,300.00005749652024
26,14,3,0.025500000000000002,0.0135,0.0025,300.0000174195418
27,14,3,0.0265,0.0135,0.0025,300.0000050260138
28,14,3,0.0275,0.0135,0.0025,300.0000013815303
29,14,3,0.0285,0.0135,0.0025,300.000000361902
30,14,3,0.029500000000000002,0.0135,0.0025,300.00000009037626
31,14,3,0.0305,0.0135,0.0025,300.0000000215477
32,14,3,0.0315,0.0135,0.0025,300.00000000523835
1,15,3,0.0005,0.0145,0.0025,338.3960895047096
2,15,3,0.0015,0.0145,0.0025,336.77730881603037
3,15,3,0.0025,0.0145,0.0025,334.4079283568738
4,15,3,0.0035,0.0145,0.0025,331.2608532883809
5,15,3,0.0045000000000000005,0.0145,0.0025,327.4316130235736
6,15,3,0.0055,0.0145,0.0025,323.1382891835363
7,15,3,0.006500000000000001,0.0145,0.0025,318.6850841584574
8,15,3,0.0075,0.0145,0.0025,314.3993059767424
9,15,3,0.0085,0.0145,0.0025,310.56313946173356
10,15,3,0.0095,0.0145,0.0025,307.36303661039716
11,15,3,0.0105,0.0145,0.0025,304.87058835581047
12,15,3,0.0115,0.0145,0.0025,303.05499498334854
13,15,3,0.0125,0.0145,0.0025,301.81611773451846
14,15,3,0.0135,0.0145,0.0025,301.02306383011893
15,15,3,0.0145,0.0145,0.0025,300.5461344967891
16,15,3,0.0155,0.0145,0.0025,300.27632244107537
17,15,3,0.0165,0.0145,0.0025,300.1325512058303
18,15,3,0.0175,0.0145,0.0025,300.0603070918414
19,15,3,0.0185,0.0145,0.0025,300.02603512330626
20,15,3,0.0195,0.0145,0.0025,300.01066991189333
21,15,3,0.0205,0.0145,0.0025,300.0041531944102
22,15,3,0.021500000000000002,0.0145,0.0025,300.0015361569621
23,15,3,0.0225,0.0145,0.0025,300.00054016895484
24,15,3,0.0235,0.0145,0.0025,300.00018066206275
25,15,3,0.0245,0.0145,0.0025,300.00005749652024
26,15,3,0.025500000000000002,0.0145,0.0025,300.0000174195418
27,15,3,0.0265,0.0145,0.0025,300.0000050260138
28,15,3,0.0275,0.0145,0.0025,300.0000013815303
29,15,3,0.0285,0.0145,0.0025,300.000000361902
30,15,3,0.029500000000000002,0.0145,0.0025,300.00000009037626
31,15,3,0.0305,0.0145,0.0025,300.0000000215477
32,15,3,0.0315,0.0145,0.0025,300.00000000523835
1,16,3,0.0005,0.0155,0.0025,338.3960895047096
2,16,3,0.0015,0.0155,0.0025,336.77730881603037
3,16,3,0.0025,0.0155,0.0025,334.4079283568738
4,16,3,0.0035,0.0155,0.0025,331.2608532883809
5,16,3,0.0045000000000000005,0.0155,0.0025,327.4316130235736
6,16,3,0.0055,0.0155,0.0025,323.1382891835363
7,16,3,0.006500000000000001,0.0155,0.0025,318.6850841584574
8,16,3,0.0075,0.0155,0.0025,314.3993059767424
9,16,3,0.0085,0.0155,0.0025,310.56313946173356
10,16,3,0.0095,0.0155,0.0025,307.36303661039716
11,16,3,0.0105,0.0155,0.0025,304.87058835581047
12,16,3,0.0115,0.0155,0.0025,303.05499498334854
13,16,3,0.0125,0.0155,0.0025,301.81611773451846
14,16,3,0.0135,0.0155,0.0025,301.02306383011893
15,16,3,0.0145,0.0155,0.0025,300.5461344967891
16,16,3,0.0155,0.0155,0.0025,300.27632244107537
17,16,3,0.0165,0.0155,0.0025,300.1325512058303
18,16,3,0.0175,0.0155,0.0025,300.0603070918414
19,16,3,0.0185,0.0155,0.0025,300.02603512330626
20,16,3,0.0195,0.0155,0.0025,300.01066991189333
21,16,3,0.0205,0.0155,0.0025,300.0041531944102
22,16,3,0.021500000000000002,0.0155,0.0025,300.0015361569621
23,16,3,0.0225,0.0155,0.0025,300.00054016895484
24,16,3,0.0235,0.0155,0.0025,300.00018066206275
25,16,3,0.0245,0.0155,0.0025,300.00005749652024
26,16,3,0.025500000000000002,0.0155,0.0025,300.0000174195418
27,16,3,0.0265,0.0155,0.0025,300.0000050260138
28,16,3,0.0275,0.0155,0.0025,300.0000013815303
29,16,3,0.0285,0.0155,0.0025,300.000000361902
30,16,3,0.029500000000000002,0.0155,0.0025,300.00000009037626
31,16,3,0.0305,0.0155,0.0025,300.0000000215477
32,16,3,0.0315,0.0155,0.0025,300.00000000523835
1,1,4,0.0005,0.0005,0.0035,338.290345572996
2,1,4,0.0015,0.0005,0.0035,336.59053496670737
3,1,4,0.0025,0.0005,0.0035,334.1427653210197
4,1,4,0.0035,0.0005,0.0035,330.93738230745004
5,1,4,0.0045000000000000005,0.0005,0.0035,327.0805590445555
6,1,4,0.0055,0.0005,0.0035,322.7924377816493
7,1,4,0.006500000000000001,0.0005,0.0035,318.37191996783724
8,1,4,0.0075,0.0005,0.0035,314.1365969676238
9,1,4,0.0085,0.0005,0.0035,310.357884443477
10,1,4,0.0095,0.0005,0.0035,307.2131316497539
11,1,4,0.0105,0.0005,0.0035,304.76797842099637
12,1,4,0.0115,0.0005,0.0035,302.98903426991944
13,1,4,0.0125,0.0005,0.0035,301.77623373014785
14,1,4,0.0135,0.0005,0.0035,301.0003489895519
15,1,4,0.0145,0.0005,0.0035,300.53393558679886
16,1,4,0.0155,0.0005,0.0035,300.2701382700273
17,1,4,0.0165,0.0005,0.0035,300.12958910610485
18,1,4,0.0175,0.0005,0.0035,300.05896540114594
19,1,4,0.0185,0.0005,0.0035,300.0254599618702
20,1,4,0.0195,0.0005,0.0035,300.0104363844348
21,1,4,0.0205,0.0005,0.0035,300.00406332724555
22,1,4,0.021500000000000002,0.0005,0.0035,300.0015033578686
23,1,4,0.0225,0.0005,0.0035,300.0005288088467
24,1,4,0.0235,0.0005,0.0035,300.0001769260823
25,1,4,0.0245,0.0005,0.0035,300.0000563293086
26,1,4,0.025500000000000002,0.0005,0.0035,300.0000170729497
27,1,4,0.0265,0.0005,0.0035,300.0000049281566
28,1,4,0.0275,0.0005,0.0035,300.0000013552498
29,1,4,0.0285,0.0005,0.0035,300.0000003551865
30,1,4,0.029500000000000002,0.0005,0.0035,300.000000088743
31,1,4,0.0305,0.0005,0.0035,300.0000000211691
32,1,4,0.0315,0.0005,0.0035,300.00000000514916
1,2,4,0.0005,0.0015,0.0035,338.290345572996
2,2,4,0.0015,0.0015,0.0035,336.59053496670737
3,2,4,0.0025,0.0015,0.0035,334.1427653210197
4,2,4,0.0035,0.0015,0.0035,330.93738230745004
5,2,4,0.0045000000000000005,0.0015,0.0035,327.0805590445555
6,2,4,0.0055,0.0015,0.0035,322.7924377816493
7,2,4,0.006500000000000001,0.0015,0.0035,318.37191996783724
8,2,4,0.0075,0.0015,0.0035,314.1365969676238
9,2,4,0.0085,0.0015,0.0035,310.357884443477
10,2,4,0.0095,0.0015,0.0035,307.2131316497539
11,2,4,0.0105,0.0015,0.0035,304.76797842099637
12,2,4,0.0115,0.0015,0.0035,302.98903426991944
13,2,4,0.0125,0.0015,0.0035,301.77623373014785
14,2,4,0.0135,0.0015,0.0035,301.0003489895519
15,2,4,0.0145,0.0015,0.0035,300.53393558679886
16,2,4,0.0155,0.0015,0.0035,300.2701382700273
17,2,4,0.0165,0.0015,0.0035,300.12958910610485
18,2,4,0.0175,0.0015,0.0035,300.05896540114594
19,2,4,0.0185,0.0015,0.0035,300.0254599618702
20,2,4,0.0195,0.0015,0.0035,300.0104363844348
21,2,4,0.0205,0.0015,0.0035,300.00406332724555
22,2,4,0.021500000000000002,0.0015,0.0035,300.0015033578686
23,2,4,0.0225,0.0015,0.0035,300.0005288088467
24,2,4,0.0235,0.0015,0.0035,300.0001769260823
25,2,4,0.0245,0.0015,0.0035,300.0000563293086
26,2,4,0.025500000000000002,0.0015,0.0035,300.0000170729497
27,2,4,0.0265,0.0015,0.0035,300.0000049281566
28,2,4,0.0275,0.0015,0.0035,300.0000013552498
29,2,4,0.0285,0.0015,0.0035,300.0000003551865
30,2,4,0.029500000000000002,0.0015,0.0035,300.000000088743
31,2,4,0.0305,0.0015,0.0035,300.0000000211691
32,2,4,0.0315,0.0015,0.0035,300.00000000514916
1,3,4,0.0005,0.0025,0.0035,338.290345572996
2,3,4,0.0015,0.0025,0.0035,336.59053496670737
3,3,4,0.0025,0.0025,0.0035,334.1427653210197
4,3,4,0.0035,0.0025,0.0035,330.93738230745004
5,3,4,0.0045000000000000005,0.0025,0.0035,327.0805590445555
6,3,4,0.0055,0.0025,0.0035,322.7924377816493
7,3,4,0.006500000000000001,0.0025,0.0035,318.37191996783724
8,3,4,0.0075,0.0025,0.0035,314.1365969676238
9,3,4,0.0085,0.0025,0.0035,310.357884443477
10,3,4,0.0095,0.0025,0.0035,307.2131316497539
11,3,4,0.0105,0.0025,0.0035,304.76797842099637
12,3,4,0.0115,0.0025,0.0035,302.98903426991944
13,3,4,0.0125,0.0025,0.0035,301.77623373014785
14,3,4,0.0135,0.0025,0.0035,301.0003489895519
15,3,4,0.0145,0.0025,0.0035,300.53393558679886
16,3,4,0.0155,0.0025,0.0035,300.2701382700273
17,3,4,0.0165,0.0025,0.0035,300.12958910610485
18,3,4,0.0175,0.0025,0.0035,300.05896540114594
19,3,4,0.0185,0.0025,0.0035,300.0254599618702
20,3,4,0.0195,0.0025,0.0035,300.0104363844348
21,3,4,0.0205,0.0025,0.0035,300.00406332724555
22,3,4,0.021500000000000002,0.0025,0.0035,300.0015033578686
23,3,4,0.0225,0.0025,0.0035,300.0005288088467
24,3,4,0.0235,0.0025,0.0035,300.0001769260823
25,3,4,0.0245,0.0025,0.0035,300.0000563293086
26,3,4,0.025500000000000002,0.0025,0.0035,300.0000170729497
27,3,4,0.0265,0.0025,0.0035,300.0000049281566
28,3,4,0.0275,0.0025,0.0035,300.0000013552498
29,3,4,0.0285,0.0025,0.0035,300.0000003551865
30,3,4,0.029500000000000002,0.0025,0.0035,300.000000088743
31,3,4,0.0305,0.0025,0.0035,300.0000000211691
32,3,4,0.0315,0.0025,0.0035,300.00000000514916
1,4,4,0.0005,0.0035,0.0035,338.290345572996
2,4,4,0.0015,0.0035,0.0035,336.59053496670737
3,4,4,0.0025,0.0035,0.0035,334.1427653210197
4,4,4,0.0035,0.0035,0.0035,330.93738230745004
5,4,4,0.0045000000000000005,0.0035,0.0035,327.0805590445555
6,4,4,0.0055,0.0035,0.0035,322.7924377816493
7,4,4,0.006500000000000001,0.0035,0.0035,318.37191996783724
8,4,4,0.0075,0.0035,0.0035,314.1365969676238
9,4,4,0.0085,0.0035,0.0035,310.357884443477
10,4,4,0.0095,0.0035,0.0035,307.2131316497539
11,4,4,0.0105,0.0035,0.0035,304.76797842099637
12,4,4,0.0115,0.0035,0.0035,302.98903426991944
13,4,4,0.0125,0.0035,0.0035,301.77623373014785
14,4,4,0.0135,0.0035,0.0035,301.0003489895519
15,4,4,0.0145,0.0035,0.0035,300.53393558679886
16,4,4,0.0155,0.0035,0.0035,300.2701382700273
17,4,4,0.0165,0.0035,0.0035,300.12958910610485
18,4,4,0.0175,0.0035,0.0035,300.05896540114594
19,4,4,0.0185,0.0035,0.0035,300.0254599618702
20,4,4,0.0195,0.0035,0.0035,300.0104363844348
21,4,4,0.0205,0.0035,0.0035,300.00406332724555
22,4,4,0.021500000000000002,0.0035,0.0035,300.0015033578686
23,4,4,0.0225,0.0035,0.0035,300.0005288088467
24,4,4,0.0235,0.0035,0.0035,300.0001769260823
25,4,4,0.0245,0.0035,0.0035,300.0000563293086
26,4,4,0.025500000000000002,0.0035,0.0035,300.0000170729497
27,4,4,0.0265,0.0035,0.0035,300.0000049281566
28,4,4,0.0275,0.0035,0.0035,300.0000013552498
29,4,4,0.0285,0.0035,0.0035,300.0000003551865
30,4,4,0.029500000000000002,0.0035,0.0035,300.000000088743
31,4,4,0.0305,0.0035,0.0035,300.0000000211691
32,4,4,0.0315,0.0035,0.0035,300.00000000514916
1,5,4,0.0005,0.0045000000000000005,0.0035,338.290345572996
2,5,4,0.0015,0.0045000000000000005,0.0035,336.59053496670737
3,5,4,0.0025,0.0045000000000000005,0.0035,334.1427653210197
4,5,4,0.0035,0.0045000000000000005,0.0035,330.93738230745004
5,5,4,0.0045000000000000005,0.0045000000000000005,0.0035,327.0805590445555
6,5,4,0.0055,0.0045000000000000005,0.0035,322.7924377816493
7,5,4,0.006500000000000001,0.0045000000000000005,0.0035,318.37191996783724
8,5,4,0.0075,0.0045000000000000005,0.0035,314.1365969676238
9,5,4,0.0085,0.0045000000000000005,0.0035,310.357884443477
10,5,4,0.0095,0.0045000000000000005,0.0035,307.2131316497539
11,5,4,0.0105,0.0045000000000000005,0.0035,304.76797842099637
12,5,4,0.0115,0.0045000000000000005,0.0035,302.98903426991944
13,5,4,0.0125,0.0045000000000000005,0.0035,301.77623373014785
14,5,4,0.0135,0.0045000000000000005,0.0035,301.0003489895519
15,5,4,0.0145,0.0045000000000000005,0.0035,300.53393558679886
16,5,4,0.0155,0.0045000000000000005,0.0035,300.2701382700273
17,5,4,0.0165,0.0045000000000000005,0.0035,300.12958910610485
18,5,4,0.0175,0.0045000000000000005,0.0035,300.05896540114594
19,5,4,0.0185,0.0045000000000000005,0.0035,300.0254599618702
20,5,4,0.0195,0.0045000000000000005,0.0035,300.0104363844348
21,5,4,0.0205,0.0045000000000000005,0.0035,300.00406332724555
22,5,4,0.021500000000000002,0.0045000000000000005,0.0035,300.0015033578686
23,5,4,0.0225,0.0045000000000000005,0.0035,300.0005288088467
24,5,4,0.0235,0.0045000000000000005,0.0035,300.0001769260823
25,5,4,0.0245,0.0045000000000000005,0.0035,300.0000563293086
26,5,4,0.025500000000000002,0.0045000000000000005,0.0035,300.0000170729497
27,5,4,0.0265,0.0045000000000000005,0.0035,300.0000049281566
28,5,4,0.0275,0.0045000000000000005,0.0035,300.0000013552498
29,5,4,0.0285,0.0045000000000000005,0.0035,300.0000003551865
30,5,4,0.029500000000000002,0.0045000000000000005,0.0035,300.000000088743
31,5,4,0.0305,0.0045000000000000005,0.0035,300.0000000211691
32,5,4,0.0315,0.0045000000000000005,0.0035,300.00000000514916
1,6,4,0.0005,0.0055,0.0035,338.290345572996
2,6,4,0.0015,0.0055,0.0035,336.59053496670737
3,6,4,0.0025,0.0055,0.0035,334.1427653210197
4,6,4,0.0035,0.0055,0.0035,330.93738230745004
5,6,4,0.0045000000000000005,0.0055,0.0035,327.0805590445555
6,6,4,0.0055,0.0055,0.0035,322.7924377816493
7,6,4,0.006500000000000001,0.0055,0.0035,318.37191996783724
8,6,4,0.0075,0.0055,0.0035,314.1365969676238
9,6,4,0.0085,0.0055,0.0035,310.357884443477
10,6,4,0.0095,0.0055,0.0035,307.2131316497539
11,6,4,0.0105,0.0055,0.0035,304.76797842099637
12,6,4,0.0115,0.0055,0.0035,302.98903426991944
13,6,4,0.0125,0.0055,0.0035,301.77623373014785
14,6,4,0.0135,0.0055,0.0035,301.0003489895519
15,6,4,0.0145,0.0055,0.0035,300.53393558679886
16,6,4,0.0155,0.0055,0.0035,300.2701382700273
17,6,4,0.0165,0.0055,0.0035,300.12958910610485
18,6,4,0.0175,0.0055,0.0035,300.05896540114594
19,6,4,0.0185,0.0055,0.0035,300.0254599618702
20,6,4,0.0195,0.0055,0.0035,300.0104363844348
21,6,4,0.0205,0.0055,0.0035,300.00406332724555
22,6,4,0.021500000000000002,0.0055,0.0035,300.0015033578686
23,6,4,0.0225,0.0055,0.0035,300.0005288088467
24,6,4,0.0235,0.0055,0.0035,300.0001769260823
25,6,4,0.0245,0.0055,0.0035,300.0000563293086
26,6,4,0.025500000000000002,0.0055,0.0035,300.0000170729497
27,6,4,0.0265,0.0055,0.0035,300.0000049281566
28,6,4,0.0275,0.0055,0.0035,300.0000013552498
29,6,4,0.0285,0.0055,0.0035,300.0000003551865
30,6,4,0.029500000000000002,0.0055,0.0035,300.000000088743
31,6,4,0.0305,0.0055,0.0035,300.0000000211691
32,6,4,0.0315,0.0055,0.0035,300.00000000514916
1,7,4,0.0005,0.006500000000000001,0.0035,338.290345572996
2,7,4,0.0015,0.006500000000000001,0.0035,336.59053496670737
3,7,4,0.0025,0.006500000000000001,0.0035,334.1427653210197
4,7,4,0.0035,0.006500000000000001,0.0035,330.93738230745004
5,7,4,0.0045000000000000005,0.006500000000000001,0.0035,327.0805590445555
6,7,4,0.0055,0.006500000000000001,0.0035,322.7924377816493
7,7,4,0.006500000000000001,0.006500000000000001,0.0035,318.37191996783724
8,7,4,0.0075,0.006500000000000001,0.0035,314.1365969676238
9,7,4,0.0085,0.006500000000000001,0.0035,310.357884443477
10,7,4,0.0095,0.006500000000000001,0.0035,307.2131316497539
11,7,4,0.0105,0.006500000000000001,0.0035,304.76797842099637
12,7,4,0.0115,0.006500000000000001,0.0035,302.98903426991944
13,7,4,0.0125,0.006500000000000001,0.0035,301.77623373014785
14,7,4,0.0135,0.006500000000000001,0.0035,301.0003489895519
15,7,4,0.0145,0.006500000000000001,0.0035,300.53393558679886
16,7,4,0.0155,0.006500000000000001,0.0035,300.2701382700273
17,7,4,0.0165,0.006500000000000001,0.0035,300.12958910610485
18,7,4,0.0175,0.006500000000000001,0.0035,300.05896540114594
19,7,4,0.0185,0.006500000000000001,0.0035,300.0254599618702
20,7,4,0.0195,0.006500000000000001,0.0035,300.0104363844348
21,7,4,0.0205,0.006500000000000001,0.0035,300.00406332724555
22,7,4,0.021500000000000002,0.006500000000000001,0.0035,300.0015033578686
23,7,4,0.0225,0.006500000000000001,0.0035,300.0005288088467
24,7,4,0.0235,0.006500000000000001,0.0035,300.0001769260823
25,7,4,0.0245,0.006500000000000001,0.0035,300.0000563293086
26,7,4,0.025500000000000002,0.006500000000000001,0.0035,300.0000170729497
27,7,4,0.0265,0.006500000000000001,0.0035,300.0000049281566
28,7,4,0.0275,0.006500000000000001,0.0035,300.0000013552498
29,7,4,0.0285,0.006500000000000001,0.0035,300.0000003551865
30,7,4,0.029500000000000002,0.006500000000000001,0.0035,300.000000088743
31,7,4,0.0305,0.006500000000000001,0.0035,300.0000000211691
32,7,4,0.0315,0.006500000000000001,0.0035,300.00000000514916
1,8,4,0.0005,0.0075,0.0035,338.290345572996
2,8,4,0.0015,0.0075,0.0035,336.59053496670737
3,8,4,0.0025,0.0075,0.0035,334.1427653210197
4,8,4,0.0035,0.0075,0.0035,330.93738230745004
5,8,4,0.0045000000000000005,0.0075,0.0035,327.0805590445555
6,8,4,0.0055,0.0075,0.0035,322.7924377816493
7,8,4,0.006500000000000001,0.0075,0.0035,318.37191996783724
8,8,4,0.0075,0.0075,0.0035,314.1365969676238
9,8,4,0.0085,0.0075,0.0035,310.357884443477
10,8,4,0.0095,0.0075,0.0035,307.2131316497539
11,8,4,0.0105,0.0075,0.0035,304.76797842099637
12,8,4,0.0115,0.0075,0.0035,302.98903426991944
13,8,4,0.0125,0.0075,0.0035,301.77623373014785
14,8,4,0.0135,0.0075,0.0035,301.0003489895519
15,8,4,0.0145,0.0075,0.0035,300.53393558679886
16,8,4,0.0155,0.0075,0.0035,300.2701382700273
17,8,4,0.0165,0.0075,0.0035,300.12958910610485
18,8,4,0.0175,0.0075,0.0035,300.05896540114594
19,8,4,0.0185,0.0075,0.0035,300.0254599618702
20,8,4,0.0195,0.0075,0.0035,300.0104363844348
21,8,4,0.0205,0.0075,0.0035,300.00406332724555
22,8,4,0.021500000000000002,0.0075,0.0035,300.0015033578686
23,8,4,0.0225,0.0075,0.0035,300.0005288088467
24,8,4,0.0235,0.0075,0.0035,300.0001769260823
25,8,4,0.0245,0.0075,0.0035,300.0000563293086
26,8,4,0.025500000000000002,0.0075,0.0035,300.0000170729497
27,8,4,0.0265,0.0075,0.0035,300.0000049281566
28,8,4,0.0275,0.0075,0.0035,300.0000013552498
29,8,4,0.0285,0.0075,0.0035,300.0000003551865
30,8,4,0.029500000000000002,0.0075,0.0035,300.000000088743
31,8,4,0.0305,0.0075,0.0035,300.0000000211691
32,8,4,0.0315,0.0075,0.0035,300.00000000514916
1,9,4,0.0005,0.0085,0.0035,338.290345572996
2,9,4,0.0015,0.0085,0.0035,336.59053496670737
3,9,4,0.0025,0.0085,0.0035,334.1427653210197
4,9,4,0.0035,0.0085,0.0035,330.93738230745004
5,9,4,0.0045000000000000005,0.0085,0.0035,327.0805590445555
6,9,4,0.0055,0.0085,0.0035,322.7924377816493
7,9,4,0.006500000000000001,0.0085,0.0035,318.37191996783724
8,9,4,0.0075,0.0085,0.0035,314.1365969676238
9,9,4,0.0085,0.0085,0.0035,310.357884443477
10,9,4,0.0095,0.0085,0.0035,307.2131316497539
11,9,4,0.0105,0.0085,0.0035,304.76797842099637
12,9,4,0.0115,0.0085,0.0035,302.98903426991944
13,9,4,0.0125,0.0085,0.0035,301.77623373014785
14,9,4,0.0135,0.0085,0.0035,301.0003489895519
15,9,4,0.0145,0.0085,0.0035,300.53393558679886
16,9,4,0.0155,0.0085,0.0035,300.2701382700273
17,9,4,0.0165,0.0085,0.0035,300.12958910610485
18,9,4,0.0175,0.0085,0.0035,300.05896540114594
19,9,4,0.0185,0.0085,0.0035,300.0254599618702
20,9,4,0.0195,0.0085,0.0035,300.0104363844348
21,9,4,0.0205,0.0085,0.0035,300.00406332724555
22,9,4,0.021500000000000002,0.0085,0.0035,300.0015033578686
23,9,4,0.0225,0.0085,0.0035,300.0005288088467
24,9,4,0.0235,0.0085,0.0035,300.0001769260823
25,9,4,0.0245,0.0085,0.0035,300.0000563293086
26,9,4,0.025500000000000002,0.0085,0.0035,300.0000170729497
27,9,4,0.0265,0.0085,0.0035,300.0000049281566
28,9,4,0.0275,0.0085,0.0035,300.0000013552498
29,9,4,0.0285,0.0085,0.0035,300.0000003551865
30,9,4,0.029500000000000002,0.0085,0.0035,300.000000088743
31,9,4,0.0305,0.0085,0.0035,300.0000000211691
32,9,4,0.0315,0.0085,0.0035,300.00000000514916
1,10,4,0.0005,0.0095,0.0035,338.290345572996
2,10,4,0.0015,0.0095,0.0035,336.59053496670737
3,10,4,0.0025,0.0095,0.0035,334.1427653210197
4,10,4,0.0035,0.0095,0.0035,330.93738230745004
5,10,4,0.0045000000000000005,0.0095,0.0035,327.0805590445555
6,10,4,0.0055,0.0095,0.0035,322.7924377816493
7,10,4,0.006500000000000001,0.0095,0.0035,318.37191996783724
8,10,4,0.0075,0.0095,0.0035,314.1365969676238
9,10,4,0.0085,0.0095,0.0035,310.357884443477
10,10,4,0.0095,0.0095,0.0035,307.2131316497539
11,10,4,0.0105,0.0095,0.0035,304.76797842099637
12,10,4,0.0115,0.0095,0.0035,302.98903426991944
13,10,4,0.0125,0.0095,0.0035,301.77623373014785
14,10,4,0.0135,0.0095,0.0035,301.0003489895519
15,10,4,0.0145,0.0095,0.0035,300.53393558679886
16,10,4,0.0155,0.0095,0.0035,300.2701382700273
17,10,4,0.0165,0.0095,0.0035,300.12958910610485
18,10,4,0.0175,0.0095,0.0035,300.05896540114594
19,10,4,0.0185,0.0095,0.0035,300.0254599618702
20,10,4,0.0195,0.0095,0.0035,300.0104363844348
21,10,4,0.0205,0.0095,0.0035,300.00406332724555
22,10,4,0.021500000000000002,0.0095,0.0035,300.0015033578686
23,10,4,0.0225,0.0095,0.0035,300.0005288088467
24,10,4,0.0235,0.0095,0.0035,300.0001769260823
25,10,4,0.0245,0.0095,0.0035,300.0000563293086
26,10,4,0.025500000000000002,0.0095,0.0035,300.0000170729497
27,10,4,0.0265,0.0095,0.0035,300.0000049281566
28,10,4,0.0275,0.0095,0.0035,300.0000013552498
29,10,4,0.0285,0.0095,0.0035,300.0000003551865
30,10,4,0.029500000000000002,0.0095,0.0035,300.000000088743
31,10,4,0.0305,0.0095,0.0035,300.0000000211691
32,10,4,0.0315,0.0095,0.0035,300.00000000514916
1,11,4,0.0005,0.0105,0.0035,338.290345572996
2,11,4,0.0015,0.0105,0.0035,336.59053496670737
3,11,4,0.0025,0.0105,0.0035,334.1427653210197
4,11,4,0.0035,0.0105,0.0035,330.93738230745004
5,11,4,0.0045000000000000005,0.0105,0.0035,327.0805590445555
6,11,4,0.0055,0.0105,0.0035,322.7924377816493
7,11,4,0.006500000000000001,0.0105,0.0035,318.37191996783724
8,11,4,0.0075,0.0105,0.0035,314.1365969676238
9,11,4,0.0085,0.0105,0.0035,310.357884443477
10,11,4,0.0095,0.0105,0.0035,307.2131316497539
