x_index,y_index,z_index,temperature_k,source_tracer_mol_m3,ambient_tracer_mol_m3,tracer_sum_mol_m3,source_fraction
9,9,3,310.56313946173356,0.4084785830694423,0.5915214169305575,0.9999999999999998,0.4084785830694424
10,9,3,307.36303661039716,0.27851558241665014,0.7214844175833498,1.0,0.27851558241665014
11,9,3,304.87058835581047,0.17553454147639544,0.8244654585236045,1.0,0.17553454147639544
12,9,3,303.05499498334854,0.10230722761226724,0.8976927723877328,1.0,0.10230722761226724
13,9,3,301.81611773451846,0.05521297347728543,0.9447870265227145,1.0,0.05521297347728543
14,9,3,301.02306383011893,0.02763940259149663,0.9723605974085033,1.0,0.02763940259149663
15,9,3,300.5461344967891,0.012859586069178388,0.9871404139308216,1.0,0.012859586069178388
16,9,3,300.27632244107537,0.005572183299832605,0.9944278167001673,0.9999999999999999,0.0055721832998326054
17,9,3,300.1325512058303,0.002253225194864739,0.9977467748051352,0.9999999999999999,0.0022532251948647396
18,9,3,300.0603070918414,0.0008519492172082668,0.9991480507827918,1.0,0.0008519492172082668
19,9,3,300.02603512330626,0.00030175709196107904,0.9996982429080389,1.0,0.00030175709196107904
20,9,3,300.01066991189333,0.00010029749701881299,0.9998997025029812,1.0,0.00010029749701881299
21,9,3,300.0041531944102,3.1333780177455056e-5,0.9999686662198224,0.9999999999999999,3.133378017745506e-5
22,9,3,300.0015361569621,9.214546772356385e-6,0.9999907854532275,0.9999999999999999,9.214546772356387e-6
23,9,3,300.00054016895484,2.5542924238998747e-6,0.999997445707576,0.9999999999999999,2.554292423899875e-6
24,9,3,300.00018066206275,6.682675446269603e-7,0.9999993317324554,1.0,6.682675446269603e-7
25,9,3,300.00005749652024,1.652015466978073e-7,0.9999998347984533,1.0,1.652015466978073e-7
26,9,3,300.0000174195418,3.862944754838591e-8,0.9999999613705527,1.0000000000000002,3.86294475483859e-8
27,9,3,300.0000050260138,8.552213767283086e-9,0.9999999914477863,1.0,8.552213767283086e-9
28,9,3,300.0000013815303,1.7941967025381694e-9,0.9999999982058033,1.0,1.7941967025381694e-9
29,9,3,300.000000361902,3.5697010357179203e-10,0.99999999964303,1.0,3.5697010357179203e-10
30,9,3,300.00000009037626,6.740123352283241e-11,0.9999999999325988,1.0,6.740123352283241e-11
31,9,3,300.0000000215477,1.2085067481798598e-11,0.999999999987915,1.0,1.2085067481798598e-11
32,9,3,300.00000000523835,2.06159886531537e-12,0.9999999999979385,1.0000000000000002,2.0615988653153696e-12
1,9,4,338.290345572996,0.9996906942553827,0.00030930574461739894,1.0,0.9996906942553827
2,9,4,336.59053496670737,0.9974227471897046,0.002577252810295549,1.0000000000000002,0.9974227471897044
3,9,4,334.1427653210197,0.9882241053086428,0.011775894691357175,1.0,0.9882241053086428
4,9,4,330.93738230745004,0.9627266213418578,0.03727337865814226,1.0,0.9627266213418578
5,9,4,327.0805590445555,0.9094364376508675,0.09056356234913265,1.0,0.9094364376508675
6,9,4,322.7924377816493,0.8205831587267052,0.17941684127329494,1.0,0.8205831587267052
7,9,4,318.37191996783724,0.6979712297773257,0.3020287702226742,1.0,0.6979712297773257
8,9,4,314.1365969676238,0.5542736927527471,0.4457263072472528,0.9999999999999999,0.5542736927527472
9,9,4,310.357884443477,0.40847858004360926,0.5915214199563908,1.0,0.40847858004360926
10,9,4,307.2131316497539,0.27851558023167544,0.7214844197683247,1.0,0.27851558023167544
11,9,4,304.76797842099637,0.17553454005831517,0.8244654599416849,1.0,0.17553454005831517
12,9,4,302.98903426991944,0.1023072267788901,0.8976927732211097,0.9999999999999999,0.10230722677889012
13,9,4,301.77623373014785,0.05521297303104906,0.9447870269689508,0.9999999999999999,0.055212973031049065
14,9,4,301.0003489895519,0.02763940237264292,0.972360597627357,1.0,0.02763940237264292
15,9,4,300.53393558679886,0.012859585970422083,0.987140414029578,1.0,0.012859585970422083
16,9,4,300.2701382700273,0.0055721832586711675,0.994427816741329,1.0000000000000002,0.005572183258671167
17,9,4,300.12958910610485,0.0022532251789643713,0.9977467748210359,1.0000000000000002,0.002253225178964371
18,9,4,300.05896540114594,0.0008519492114986099,0.9991480507885016,1.0000000000000002,0.0008519492114986097
19,9,4,300.0254599618702,0.00030175709005016366,0.99969824290995,1.0000000000000002,0.0003017570900501636
20,9,4,300.0104363844348,0.00010029749642134707,0.9998997025035787,1.0,0.00010029749642134707
21,9,4,300.00406332724555,3.133378000258169e-5,0.9999686662199974,0.9999999999999999,3.1333780002581695e-5
22,9,4,300.0015033578686,9.214546724352856e-6,0.9999907854532754,0.9999999999999997,9.21454672435286e-6
23,9,4,300.0005288088467,2.55429241152118e-6,0.9999974457075884,0.9999999999999999,2.5542924115211806e-6
24,9,4,300.0001769260823,6.682675416238924e-7,0.9999993317324584,1.0,6.682675416238924e-7
25,9,4,300.0000563293086,1.6520154601151114e-7,0.999999834798454,1.0,1.6520154601151114e-7
26,9,4,300.0000170729497,3.862944740046831e-8,0.9999999613705527,1.0,3.862944740046831e-8
27,9,4,300.0000049281566,8.552213737184974e-9,0.9999999914477863,1.0,8.552213737184974e-9
28,9,4,300.0000013552498,1.794196696750979e-9,0.9999999982058033,1.0,1.794196696750979e-9
29,9,4,300.0000003551865,3.569701025194519e-10,0.99999999964303,1.0,3.569701025194519e-10
30,9,4,300.000000088743,6.740123334173546e-11,0.9999999999325988,1.0,6.740123334173546e-11
31,9,4,300.0000000211691,1.2085067452286597e-11,0.999999999987915,1.0,1.2085067452286597e-11
32,9,4,300.00000000514916,2.0615988607530242e-12,0.9999999999979385,1.0000000000000002,2.061598860753024e-12
1,9,5,338.00082684190903,0.9996906853457538,0.00030931465424617496,1.0,0.9996906853457538
2,9,5,336.09913837530445,0.9974227089947479,0.002577291005252145,1.0,0.9974227089947479
3,9,5,333.4783607457371,0.9882240104974497,0.01177598950255026,0.9999999999999999,0.9882240104974498
4,9,5,330.1639695352081,0.9627264488316174,0.03727355116838257,1.0,0.9627264488316174
5,9,5,326.274990842446,0.9094361866094735,0.09056381339052666,1.0,0.9094361866094735
6,9,5,322.0256809197557,0.820582853426841,0.17941714657315902,1.0,0.820582853426841
7,9,5,317.69684920517943,0.6979709111903233,0.3020290888096767,1.0,0.6979709111903233
8,9,5,313.58283351952304,0.5542734023399783,0.44572659766002165,1.0,0.5542734023399783
9,9,5,309.93274964303316,0.4084783457321277,0.5915216542678723,1.0,0.4084783457321277
10,9,5,306.90678776158774,0.2785154111916413,0.7214845888083588,1.0,0.2785154111916413
11,9,5,304.5603790509224,0.17553443011379471,0.8244655698862052,1.0,0.17553443011379471
12,9,5,302.85653868554886,0.10230716187053943,0.8976928381294605,1.0,0.10230716187053943
13,9,5,301.6965026627405,0.05521293804755907,0.944787061952441,1.0,0.05521293804755907
14,9,5,300.9550675081406,0.027639385074737337,0.9723606149252629,1.0000000000000002,0.02763938507473733
15,9,5,300.50964422361767,0.012859578090255985,0.9871404219097442,1.0000000000000002,0.012859578090255981
16,9,5,300.25781956443785,0.005572179938991409,0.9944278200610087,1.0000000000000002,0.005572179938991408
17,9,5,300.12367913807736,0.0022532238815251085,0.997746776118475,1.0,0.0022532238815251085
18,9,5,300.0562811548699,0.0008519487397037189,0.9991480512602965,1.0000000000000002,0.0008519487397037187
19,9,5,300.0243049831517,0.00030175693002118547,0.9996982430699789,1.0,0.00030175693002118547
20,9,5,300.009965272267,0.00010029744567496656,0.9998997025543251,1.0,0.00010029744567496656
21,9,5,300.0038810450221,3.133376492789832e-5,0.9999686662350722,1.0,3.133376492789832e-5
22,9,5,300.00143641708667,9.21454252182638e-6,0.9999907854574782,1.0,9.21454252182638e-6
23,9,5,300.0005054632172,2.554291310256133e-6,0.9999974457086898,1.0,2.554291310256133e-6
24,9,5,300.00016919010966,6.682672699681202e-7,0.9999993317327301,1.0000000000000002,6.682672699681201e-7
25,9,5,300.00005389245956,1.6520148285002575e-7,0.9999998347985174,1.0000000000000002,1.6520148285002573e-7
26,9,5,300.0000163429215,3.8629433542705646e-8,0.9999999613705665,1.0,3.8629433542705646e-8
27,9,5,300.0000047200799,8.552210865160159e-9,0.9999999914477892,1.0,8.552210865160159e-9
28,9,5,300.0000012988032,1.7941961339759344e-9,0.9999999982058039,1.0,1.7941961339759344e-9
29,9,5,300.00000034060764,3.569699981713375e-10,0.99999999964303,1.0,3.569699981713375e-10
30,9,5,300.00000008515696,6.740121502084271e-11,0.9999999999325988,1.0,6.740121502084271e-11
31,9,5,300.0000000203279,1.2085064404458275e-11,0.999999999987915,1.0,1.2085064404458275e-11
32,9,5,300.00000000494833,2.061598379470239e-12,0.9999999999979385,1.0000000000000002,2.0615983794702386e-12
1,9,6,337.21940639166456,0.9996897490903838,0.00031025090961607,0.9999999999999999,0.9996897490903839
2,9,6,334.8597810554837,0.9974193119778518,0.0025806880221481508,1.0,0.9974193119778518
3,9,6,331.9227192122999,0.9882165298592301,0.011783470140769855,1.0,0.9882165298592301
4,9,6,328.46915507004337,0.962713937336449,0.037286062663551084,1.0000000000000002,0.9627139373364488
5,9,6,324.6042481943465,0.9094190138629467,0.0905809861370535,1.0000000000000002,0.9094190138629464
6,9,6,320.5042672310076,0.8205627883162231,0.17943721168377705,1.0000000000000002,0.8205627883162229
7,9,6,316.4033033491719,0.6979505259049541,0.3020494740950459,1.0,0.6979505259049541
8,9,6,312.55016725526093,0.5542551365237517,0.4457448634762485,1.0000000000000002,0.5542551365237516
9,9,6,309.1563495527557,0.4084637575297901,0.59153624247021,1.0,0.4084637575297901
10,9,6,306.35614236072036,0.2785049385375374,0.7214950614624627,1.0,0.2785049385375374
11,9,6,304.1916243770607,0.17552762512308145,0.8244723748769185,1.0,0.17552762512308145
